observation_date,BSCICP03CNM665S
2000-02-01,100.5624
2000-03-01,100.4425
2000-04-01,100.3786
2000-05-01,100.4593
2000-06-01,100.726
2000-07-01,100.9496
2000-08-01,100.7932
2000-09-01,100.0184
2000-10-01,99.0723
2000-11-01,98.57171
2000-12-01,98.95973
2001-01-01,99.71643
2001-02-01,100.1173
2001-03-01,99.62334
2001-04-01,98.62624
2001-05-01,97.65302
2001-06-01,97.07298
2001-07-01,96.78103
2001-08-01,96.63455
2001-09-01,96.60189
2001-10-01,96.76561
2001-11-01,97.35507
2001-12-01,98.5828
2002-01-01,100.055
2002-02-01,101.2635
2002-03-01,101.8337
2002-04-01,102.0358
2002-05-01,102.2145
2002-06-01,102.5869
2002-07-01,103.0641
2002-08-01,103.4515
2002-09-01,103.5453
2002-10-01,103.3183
2002-11-01,102.6827
2002-12-01,101.574
2003-01-01,100.443
2003-02-01,99.93139
2003-03-01,100.5695
2003-04-01,101.855
2003-05-01,103.1908
2003-06-01,104.1766
2003-07-01,104.8495
2003-08-01,105.2711
2003-09-01,105.4281
2003-10-01,105.3844
2003-11-01,105.1231
2003-12-01,104.5914
2004-01-01,103.961
2004-02-01,103.4436
2004-03-01,103.2047
2004-04-01,103.1641
2004-05-01,103.2352
2004-06-01,103.3655
2004-07-01,103.4652
2004-08-01,103.4206
2004-09-01,103.1374
2004-10-01,102.7287
2004-11-01,102.3687
2004-12-01,102.2706
2005-01-01,102.6175
2005-02-01,103.2299
2005-03-01,103.8211
2005-04-01,103.2125
2005-05-01,101.6666
2005-06-01,100.4632
2005-07-01,100.1779
2005-08-01,100.8533
2005-09-01,101.7687
2005-10-01,102.0547
2005-11-01,101.9271
2005-12-01,101.5411
2006-01-01,101.1193
2006-02-01,101.5093
2006-03-01,102.7137
2006-04-01,103.5004
2006-05-01,102.9497
2006-06-01,102.0752
2006-07-01,101.5373
2006-08-01,101.9152
2006-09-01,102.7832
2006-10-01,102.9347
2006-11-01,102.8682
2006-12-01,102.6572
2007-01-01,102.5334
2007-02-01,102.6677
2007-03-01,103.5514
2007-04-01,104.1427
2007-05-01,103.5624
2007-06-01,102.6526
2007-07-01,102.0631
2007-08-01,102.1291
2007-09-01,102.4292
2007-10-01,102.3212
2007-11-01,102.4477
2007-12-01,102.3507
2008-01-01,102.2363
2008-02-01,102.9863
2008-03-01,104.2942
2008-04-01,104.2599
2008-05-01,102.3807
2008-06-01,100.2741
2008-07-01,98.48288
2008-08-01,97.46427
2008-09-01,96.28531
2008-10-01,93.64143
2008-11-01,91.44325
2008-12-01,91.78495
2009-01-01,94.15492
2009-02-01,97.15793
2009-03-01,99.67071
2009-04-01,101.0208
2009-05-01,101.3972
2009-06-01,101.4468
2009-07-01,101.5532
2009-08-01,101.8738
2009-09-01,102.319
2009-10-01,102.8338
2009-11-01,103.2102
2009-12-01,103.3468
2010-01-01,102.8719
2010-02-01,102.2112
2010-03-01,102.3744
2010-04-01,102.3484
2010-05-01,101.5999
2010-06-01,100.6174
2010-07-01,100.1115
2010-08-01,100.4501
2010-09-01,101.3898
2010-10-01,102.1677
2010-11-01,102.3671
2010-12-01,101.914
2011-01-01,101.3074
2011-02-01,100.9546
2011-03-01,100.918
2011-04-01,100.6655
2011-05-01,100.1398
2011-06-01,99.5798
2011-07-01,99.27352
2011-08-01,99.17147
2011-09-01,99.02118
2011-10-01,98.6412
2011-11-01,98.32935
2011-12-01,98.55486
2012-01-01,99.06616
2012-02-01,99.78344
2012-03-01,100.4592
2012-04-01,100.3911
2012-05-01,99.55175
2012-06-01,98.82903
2012-07-01,98.3716
2012-08-01,98.13965
2012-09-01,98.2763
2012-10-01,98.56565
2012-11-01,98.81212
2012-12-01,98.895
2013-01-01,98.866
2013-02-01,98.86634
2013-03-01,98.98376
2013-04-01,98.99426
2013-05-01,98.93252
2013-06-01,98.82351
2013-07-01,98.91618
2013-08-01,99.19054
2013-09-01,99.43691
2013-10-01,99.58362
2013-11-01,99.53653
2013-12-01,99.29036
2014-01-01,98.97573
2014-02-01,98.76141
2014-03-01,98.73896
2014-04-01,98.87908
2014-05-01,99.14004
2014-06-01,99.41357
2014-07-01,99.60789
2014-08-01,99.54608
2014-09-01,99.3738
2014-10-01,99.10511
2014-11-01,98.79473
2014-12-01,98.54878
2015-01-01,98.40517
2015-02-01,98.40763
2015-03-01,98.49126
2015-04-01,98.5661
2015-05-01,98.60554
2015-06-01,98.57138
2015-07-01,98.46046
2015-08-01,98.33877
2015-09-01,98.28045
2015-10-01,98.23143
2015-11-01,98.15378
2015-12-01,98.07473
2016-01-01,97.99234
2016-02-01,98.04052
2016-03-01,98.31345
2016-04-01,98.47344
2016-05-01,98.50992
2016-06-01,98.49344
2016-07-01,98.53916
2016-08-01,98.73741
2016-09-01,99.02191
2016-10-01,99.40153
2016-11-01,99.67571
2016-12-01,99.7429
2017-01-01,99.75624
2017-02-01,99.79839
2017-03-01,99.78228
2017-04-01,99.66685
2017-05-01,99.64519
2017-06-01,99.74403
2017-07-01,99.84537
2017-08-01,100.0176
2017-09-01,100.1562
2017-10-01,100.0696
2017-11-01,99.94204
2017-12-01,99.73302
2018-01-01,99.4762
2018-02-01,99.31673
2018-03-01,99.51
2018-04-01,99.72124
2018-05-01,99.86409
2018-06-01,99.80343
2018-07-01,99.64245
2018-08-01,99.43938
2018-09-01,99.11046
2018-10-01,98.71901
2018-11-01,98.37437
2018-12-01,98.10748
2019-01-01,98.04341
2019-02-01,98.1524
2019-03-01,98.3999
2019-04-01,98.37955
2019-05-01,98.18362
2019-06-01,98.07944
2019-07-01,98.10326
2019-08-01,98.16458
2019-09-01,98.28017
2019-10-01,98.34087
2019-11-01,98.25388
2019-12-01,97.4522
2020-01-01,95.75547
2020-02-01,94.17168
2020-03-01,96.42195
2020-04-01,98.22739
2020-05-01,99.0756
2020-06-01,99.38327
2020-07-01,99.47604
2020-08-01,99.53873
2020-09-01,99.69467
2020-10-01,99.85688
2020-11-01,100.0022
2020-12-01,99.92294
2021-01-01,99.6838
2021-02-01,99.52886
2021-03-01,99.60488
2021-04-01,99.51425
2021-05-01,99.35693
2021-06-01,99.1331
2021-07-01,98.81448
2021-08-01,98.48217
2021-09-01,98.21535
2021-10-01,98.1656
2021-11-01,98.39371
2021-12-01,98.57555
2022-01-01,98.54781
2022-02-01,98.29815
2022-03-01,97.82101
2022-04-01,97.45323
2022-05-01,97.74925
2022-06-01,98.04305
2022-07-01,98.04398
2022-08-01,98.05886
2022-09-01,97.95921
2022-10-01,97.51028
2022-11-01,97.0727
2022-12-01,97.27746
2023-01-01,98.43154
2023-02-01,99.45332
2023-03-01,99.38416
2023-04-01,98.51649
2023-05-01,97.86096
2023-06-01,97.69241
2023-07-01,97.86134
2023-08-01,98.1345
2023-09-01,98.28393
2023-10-01,98.15775
2023-11-01,97.96071
2023-12-01,97.77841
2024-01-01,97.68838
