variable,n_obs,pearson_r,pearson_p,spearman_r,spearman_p
aluminum,3047,0.41339920667184127,4.1971518347001306e-126,0.42957324462226176,4.390724380924561e-137
gold,4178,0.3163523739451256,9.31898356120929e-98,0.3054804497415202,5.905658989087841e-91
silver,4178,0.43862855040304916,4.7918789789056955e-196,0.4341269237272501,1.218130199081165e-191
crude_oil,4176,0.2573331136514163,3.799962048802327e-64,0.288518441453508,7.161796855747448e-81
dxy,4176,-0.2988769402200604,6.36976664819125e-87,-0.2983582252650742,1.2976378679888436e-86
sp500,4174,0.3042778896714182,3.8962227540759107e-90,0.30269627638066815,3.5548803403296324e-89
vix,4174,-0.25608321196417844,1.7143929530677667e-63,-0.25033099611640025,1.1580325711601643e-60
us10y_yield,4172,0.124259409900795,7.956233418148767e-16,0.1273371313249578,1.5063782275397073e-16
real_yield_10y,4180,-0.005101365146331432,0.7416102919219394,0.01713138715340662,0.26814514714802623
high_yield_oas,753,-0.20129783044621535,2.522117643842616e-08,-0.19168499336182818,1.1549433757186423e-07
china_pmi_proxy_oecd_business_confidence,4180,0.010246628218719944,0.5077830272175213,0.01274927729753844,0.40990264900990525
