number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,params_num_gnn_layers,params_num_heads,state
0,0.0021913363452767953,2026-08-08 00:11:15.222265,2026-08-08 00:53:55.140254,0 days 00:42:39.917989,0.2665440364437338,64,0.00013066739238053285,2,2,COMPLETE
1,0.002119623342878185,2026-08-08 00:53:55.141928,2026-08-08 01:36:01.894236,0 days 00:42:06.752308,0.15798625466052896,32,0.0011207606211860567,2,8,COMPLETE
2,0.0020509075620793737,2026-08-08 01:36:01.895856,2026-08-08 01:59:29.090266,0 days 00:23:27.194410,0.061612603179999434,128,0.0015304852121831463,1,2,COMPLETE
3,0.00219851839938201,2026-08-08 01:59:29.093543,2026-08-08 03:01:46.138917,0 days 01:02:17.045374,0.08050955871119471,64,0.0007591104805282694,3,8,COMPLETE
4,0.0020873338435194455,2026-08-08 03:01:46.140890,2026-08-08 03:24:38.223845,0 days 00:22:52.082955,0.24378320584027863,64,0.00869299151113955,1,4,COMPLETE
5,0.003107203527179081,2026-08-08 03:24:38.225284,2026-08-08 03:27:05.489426,0 days 00:02:27.264142,0.2571843772879823,32,0.00034889766548903674,3,8,PRUNED
6,0.003439132822677493,2026-08-08 03:27:05.491187,2026-08-08 03:29:35.787322,0 days 00:02:30.296135,0.25386535711370856,64,0.00010257563974185662,3,2,PRUNED
7,0.0024973528779810295,2026-08-08 03:29:35.788433,2026-08-08 03:31:18.512453,0 days 00:01:42.724020,0.12774558042891554,64,0.00013400367243354819,2,2,PRUNED
8,0.002978368975163903,2026-08-08 03:31:18.513531,2026-08-08 03:32:13.395509,0 days 00:00:54.881978,0.17344889909109767,32,0.003482846706526885,1,4,PRUNED
9,0.0027202040510019287,2026-08-08 03:32:13.397467,2026-08-08 03:33:10.432536,0 days 00:00:57.035069,0.15259573075890742,128,0.00031519872951938895,1,8,PRUNED
