variable,levels_adf_stat,levels_p_value,levels_n_obs,levels_stationary_at_5pct,levels_note,returns_adf_stat,returns_p_value,returns_n_obs,returns_stationary_at_5pct,returns_note
copper,-0.09851020191454525,0.9495867211244213,4181,False,,-27.742699496735927,0.0,4180,True,
aluminum,-1.0607118761931515,0.7304826738777352,3053,False,,-54.17960927515634,0.0,3047,True,
gold,1.2583249389491715,0.9963650888711989,4180,False,,-66.66206177764975,0.0,4178,True,
silver,-1.1002678219863848,0.7149650890324982,4180,False,,-17.837272518913117,3.1162627315269276e-30,4178,True,
crude_oil,-2.5753121070581453,0.09820785504931595,4180,False,,-11.88796760548627,5.961136541477594e-22,4176,True,
dxy,-1.7612833199609494,0.3998456917328529,4179,False,,-19.397039258949565,0.0,4176,True,
sp500,2.072341407768384,0.9987598853306648,4178,False,,-13.924245303529895,5.228130571076483e-26,4174,True,
vix,-5.658674811223674,9.490294662313991e-07,4178,True,,-25.75328595384756,0.0,4174,True,
us10y_yield,-1.1588466356153964,0.6910437473962154,4177,False,,-47.713289508812124,0.0,4172,True,
real_yield_10y,-1.1429816041806689,0.6976306838891891,4181,False,,-48.25673958416773,0.0,4180,True,
high_yield_oas,-2.732953473872972,0.06850739781674087,754,False,,-24.570384877782722,0.0,753,True,
china_pmi_proxy_oecd_business_confidence,-4.683763881678871,9.02656023618626e-05,4181,True,,-7.677408810682938,1.5356936222234425e-11,4180,True,
