,coint_stat,p_value,n_obs
aluminum,-3.2690716448894244,0.05911604949259041,3053.0
gold,-2.880583769360013,0.14138566441008565,4180.0
silver,-2.7205896341025886,0.192260948885571,4180.0
crude_oil,-0.6856269849902151,0.9481671860888127,4180.0
dxy,-0.3408385409091323,0.9739164871180378,4179.0
sp500,-1.8916533795954462,0.5842341440341652,4178.0
vix,-0.3783673671051298,0.9719469291525291,4178.0
us10y_yield,-1.5442338064499215,0.743842571503867,4177.0
real_yield_10y,-1.2145487912705788,0.8540500410325622,4181.0
high_yield_oas,-1.5885386661928922,0.7257032906186194,754.0
china_pmi_proxy_oecd_business_confidence,-0.5654395705047184,0.9593329765245197,4181.0
