,copper,aluminum,gold,silver,crude_oil,dxy,sp500,vix,us10y_yield,real_yield_10y,high_yield_oas,china_pmi_proxy_oecd_business_confidence
copper,1.0,0.41339920667184127,0.31635237394512494,0.4386285504030486,0.25733311365141603,-0.29887694022006006,0.30427788967142,-0.2560832119641785,0.12425940990079475,-0.005101365146331428,-0.2012978304462153,0.010246628218720074
aluminum,0.41339920667184127,1.0,0.1662200963072513,0.24538277120247054,0.19521400764080496,-0.1265763366911773,0.12266823035500574,-0.10788942182330769,0.05147247460197262,-0.007962898530705547,-0.1727337737085443,-0.014931682437137432
gold,0.31635237394512494,0.1662200963072513,1.0,0.791607874969631,0.10724421297790594,-0.35625837158865703,0.05881547065476055,-0.018454350493199368,-0.22338485620495738,-0.2660426728134816,-0.04945928620071412,-0.003688739606936931
silver,0.4386285504030486,0.24538277120247054,0.791607874969631,1.0,0.16453251664190185,-0.3237277744080411,0.17414822007296485,-0.12334018524966961,-0.08409891983442698,-0.1764539813950689,-0.18792183047455904,0.00546788467562797
crude_oil,0.25733311365141603,0.19521400764080496,0.10724421297790594,0.16453251664190185,1.0,-0.09503158092047712,0.24829783436366248,-0.1868999561208305,0.20159602260890247,0.013689805123736645,-0.05882389430537253,0.010080370468567969
dxy,-0.29887694022006006,-0.1265763366911773,-0.35625837158865703,-0.3237277744080411,-0.09503158092047712,1.0,-0.18096630688748383,0.10407989381923236,0.16467944047107527,0.21275852379626334,-0.07306733232344734,-0.024502111855319107
sp500,0.30427788967142,0.12266823035500574,0.05881547065476055,0.17414822007296485,0.24829783436366248,-0.18096630688748383,1.0,-0.7611080346684252,0.24225793816619626,0.058826685337187684,-0.6270490948377664,0.017422202400422925
vix,-0.2560832119641785,-0.10788942182330769,-0.018454350493199368,-0.12334018524966961,-0.1868999561208305,0.10407989381923236,-0.7611080346684252,1.0,-0.21407633613806412,-0.06706696854531687,0.5442833655817023,-0.01676957315890084
us10y_yield,0.12425940990079475,0.05147247460197262,-0.22338485620495738,-0.08409891983442698,0.20159602260890247,0.16467944047107527,0.24225793816619626,-0.21407633613806412,1.0,0.7967367416126254,-0.18636154821303946,0.012542746186886312
real_yield_10y,-0.005101365146331428,-0.007962898530705547,-0.2660426728134816,-0.1764539813950689,0.013689805123736645,0.21275852379626334,0.058826685337187684,-0.06706696854531687,0.7967367416126254,1.0,-0.10788708279059102,0.0011337769909814212
high_yield_oas,-0.2012978304462153,-0.1727337737085443,-0.04945928620071412,-0.18792183047455904,-0.05882389430537253,-0.07306733232344734,-0.6270490948377664,0.5442833655817023,-0.18636154821303946,-0.10788708279059102,1.0,-0.07479372266794042
china_pmi_proxy_oecd_business_confidence,0.010246628218720074,-0.014931682437137432,-0.003688739606936931,0.00546788467562797,0.010080370468567969,-0.024502111855319107,0.017422202400422925,-0.01676957315890084,0.012542746186886312,0.0011337769909814212,-0.07479372266794042,1.0
