,granger_p_lag1,granger_p_lag5,granger_p_lag22,note
aluminum,0.8624302766240715,0.9998751763618671,0.15994015839933026,
gold,0.5751796821902696,0.34954351598951133,0.32430131046895316,
silver,0.07588789263157687,0.49022268232492583,0.31894602424102136,
crude_oil,0.15973367315323048,0.6250395609894819,0.44784199827269516,
dxy,1.353732961914358e-05,0.0013575492123658482,0.00285550329787089,
sp500,1.3719335368077044e-05,6.073992900117823e-06,0.00011092130675118198,
vix,6.665946867445165e-05,4.1280324922443366e-05,0.01881486901067478,
us10y_yield,0.5168563553250319,0.08745185341067194,0.03455500309845911,
real_yield_10y,0.0027145690259727964,0.002179208156423123,0.0018388546496341254,
high_yield_oas,0.014041191358364876,0.132047036352905,0.2758939474053472,
china_pmi_proxy_oecd_business_confidence,0.5149942846611867,0.5314993080468902,0.733488105373624,
