,lag_-10,lag_-9,lag_-8,lag_-7,lag_-6,lag_-5,lag_-4,lag_-3,lag_-2,lag_-1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
aluminum,-0.0007059204646566916,0.0004678471487938803,-0.03248047127611123,-0.017919100016319883,0.007184487550991559,-0.005143861371679352,-0.012499140951598538,0.01965694206580254,0.006215393929194243,0.038992178193095646,0.41339920667184127,-0.017510427044006738,0.0022789815938394414,0.009684950681014139,-0.0021689900309110723,-0.002238796031810042,-0.00694431329216059,0.020212374093471482,-0.01908662191494672,0.021209184003706527,-0.01896361665098837
gold,0.02724645637086381,-0.0020948565147571934,-0.01657418605356015,0.01867390649814861,-0.028526984620477182,-0.010391281345081948,-0.0016121133620580126,-0.010308359480888799,0.0006860123016601098,-0.0237847974351196,0.3163523739451256,-0.0032295050366907105,0.015509551927115027,0.011224503307379261,-0.025987425351131774,0.005846028307780402,0.013197330689317893,0.00023830726173766257,-0.011078680260137867,0.007120279001060713,-0.0050268262069102865
silver,0.015094104727142925,0.004914687875595645,-0.020108739112261728,0.02921178833463293,-0.0201051858042288,-0.02217805532593961,0.010655072439852574,-0.008550131416769259,0.005573088952007862,-0.01697239068630862,0.43862855040304916,0.008843828465012651,0.008525804131935773,0.013520328568786365,-0.003697765056398607,-0.01731002112013566,0.012397296686950537,0.013858725588072354,-0.003110787565912045,0.006015737670531851,-0.01606494967159248
crude_oil,-0.03411169993371066,-0.028233202543995188,0.008970343813904727,0.027195190735614157,0.02361651089593378,-0.027515917001653043,0.0025535331042639,-0.007652237890972229,0.03125387204601979,0.0023784907345680215,0.2573331136514163,0.013479127970003786,0.007558094867937257,-9.811092177596387e-05,-0.0079624704709316,-0.018397959889795076,-0.017808839114152812,0.02573494700127056,-0.005627333375236913,0.010561593812498557,0.012158170615396665
dxy,-0.002905685476868968,0.017680022484483037,-0.019755780358510094,-0.00901166452433447,0.03397625649942361,0.019751535684742444,0.00942490724879157,0.002486796384403996,0.0022620914299223034,-0.00781564255759384,-0.2988769402200604,-0.05551469064759762,-0.009926414066992907,-0.0035657825665091278,-0.0074754673113388865,0.00917465320525437,-0.0076923238964073356,-0.01171482276326039,-0.01351747074223094,0.004196455075199556,0.008714791337887625
sp500,0.020848468216138383,0.0037779253531623003,-0.02465120321946319,0.00950314430775515,-0.035828740563044296,-0.03904792069689049,0.004105614493640807,0.008011087539909305,0.023344398317609625,0.0013628239571600643,0.3042778896714182,0.05173866241620972,0.03429330765406218,-0.022635347257195532,0.007984800973212861,-0.0043048109392673055,-0.0233453795740565,0.03187545921191022,0.0049513812279216385,-0.0004952561261626157,0.0061546869406673334
vix,-0.014999168466669065,0.0109531011501103,0.004347541296587169,0.01874307083360765,0.025948261409913867,0.042833041209734586,-0.01411129349389815,0.012659951525827022,0.014432632577536391,0.004156728856711118,-0.25608321196417844,-0.050242776214063596,-0.04051270978372584,0.0197385622951099,-0.010174197570522753,0.010769323685684628,0.017361608800453024,-0.01334937313102184,-0.002383044803831447,-0.005824373257110382,0.0010341477032963457
us10y_yield,-0.03791504457944675,0.006000329356906048,-0.012329569364473627,0.004486816726334561,0.03852102160482515,-0.020896631327171896,0.008231770570922703,0.0131507755157814,0.010144167263174823,0.00639840432902641,0.124259409900795,-0.016862178162368843,0.02998672301264124,-0.030909415199747596,0.016718666555638445,-0.0069677276796686685,-0.024728187090680993,0.04160590115275505,-0.004340258195409516,-0.02653671221923495,0.005864289231638467
real_yield_10y,-0.030906779331379402,-0.00622573189350764,-0.016131358150862415,-0.00036703538598196035,0.03264678122944441,-0.00908358967442672,-0.0020659777666159895,0.01705136977828098,-0.005699605383151942,-0.023049362411203762,-0.005101365146331432,-0.046160351790194634,0.02446041717018164,-0.03178010948629366,0.004587929034172608,0.02218228753439534,-0.017843850787358354,0.01769000013730311,-0.014671027346384067,-0.037204661079368866,0.0201736305209253
high_yield_oas,-0.006677321202969713,0.010261117998098425,0.05543912915896477,-0.020575946186704625,0.055746770244615836,-0.012419241901723646,-0.07175827411979924,0.05873706312599417,0.010912514660003998,-0.13832651256074202,-0.20129783044621535,-0.07139007891757194,-0.059944671065881326,0.019948968733976735,0.009116406911543843,0.0026843152238236537,0.04598520870687307,-0.03727388077276879,0.033284212885317806,0.029133067322559034,0.07569129526746869
china_pmi_proxy_oecd_business_confidence,0.007248594176233502,0.006544715577231755,-0.002321207511165172,0.005341603924599247,0.02174145974378383,0.001297338636310611,0.004027827168069079,-0.0012090707646278446,0.010423809329414132,0.01883543756870269,0.010246628218719944,0.009697559996784772,0.014038072056631906,0.0037502547949053704,0.02528908313548385,-0.004020209305770267,-0.0019222974183747757,-0.0063427893353506315,-0.00641117165953758,-0.011881928949140417,-0.005879190940627603
