variable,pearson_r,pearson_p,spearman_r,best_ccf_lag,best_ccf_corr,granger_p_lag1,granger_p_lag5,granger_p_lag22,coint_p_value,rolling_corr_std,rolling_corr_min,rolling_corr_max,verdict,literature_claim
aluminum,0.41339920667184127,4.1971518347001306e-126,0.42957324462226176,0,0.41339920667184127,0.8624302766240715,0.9998751763618671,0.15994015839933026,0.05911604949259041,0.22404557751766482,-0.15615343254722136,0.6550274865234268,"correlated on average but regime-unstable (252d rolling corr ranges -0.16 to 0.66, crosses zero across the 2010-present sample -- not a stable structural relationship)",Not specifically quantified in either doc; grouped as 'other base metals' cross-market co-movement.
gold,0.3163523739451256,9.31898356120929e-98,0.3054804497415202,0,0.3163523739451256,0.5751796821902696,0.34954351598951133,0.32430131046895316,0.14138566441008565,0.16837768891778054,-0.1131068290133416,0.6324728873570499,"correlated on average but regime-unstable (252d rolling corr ranges -0.11 to 0.63, crosses zero across the 2010-present sample -- not a stable structural relationship)","'Great influence on copper price' / high correlation (Chen et al. 2023, cited in literature_review 2.6)."
silver,0.43862855040304916,4.7918789789056955e-196,0.4341269237272501,0,0.43862855040304916,0.07588789263157687,0.49022268232492583,0.31894602424102136,0.192260948885571,0.1389269592609691,-0.015353280453923715,0.6816233927947513,"contemporaneous only, no genuine lead at daily frequency -- not a useful predictive feature as-is","'High influence' on copper (Chen et al. 2023, cited in literature_review 2.6)."
crude_oil,0.2573331136514163,3.799962048802327e-64,0.288518441453508,0,0.2573331136514163,0.15973367315323048,0.6250395609894819,0.44784199827269516,0.9481671860888127,0.15317577354985915,-0.16136637542413484,0.6341920236357587,"correlated on average but regime-unstable (252d rolling corr ranges -0.16 to 0.63, crosses zero across the 2010-present sample -- not a stable structural relationship)","Short-term positive correlation via shared macro drivers (Ling et al. 2025, literature_review 2.6)."
dxy,-0.2988769402200604,6.36976664819125e-87,-0.2983582252650742,0,-0.2988769402200604,1.353732961914358e-05,0.0013575492123658482,0.00285550329787089,0.9739164871180378,0.15268491584230737,-0.6054848257105138,0.07483746502886009,"correlated on average but regime-unstable (252d rolling corr ranges -0.61 to 0.07, crosses zero across the 2010-present sample -- not a stable structural relationship)","Negative correlation with copper, typically -0.3 to -0.6 (copper_fundamentals.md 3.2); 'most reliable macro feature' cross-asset relationship (literature_review 2.6)."
sp500,0.3042778896714182,3.8962227540759107e-90,0.30269627638066815,0,0.3042778896714182,1.3719335368077044e-05,6.073992900117823e-06,0.00011092130675118198,0.5842341440341652,0.13342142928783943,0.06920214304792814,0.6557344752117562,"contemporaneous only, no genuine lead at daily frequency -- not a useful predictive feature as-is",Not a headline claim in the docs; implicitly a risk-sentiment proxy alongside VIX.
vix,-0.25608321196417844,1.7143929530677667e-63,-0.25033099611640025,0,-0.25608321196417844,6.665946867445165e-05,4.1280324922443366e-05,0.01881486901067478,0.9719469291525291,0.10658756262920425,-0.4832820716448103,-0.01965996825900852,"contemporaneous only, no genuine lead at daily frequency -- not a useful predictive feature as-is",Negative correlation; VIX spikes coincide with copper sell-offs (copper_fundamentals.md 3.4).
us10y_yield,0.124259409900795,7.956233418148767e-16,0.1273371313249578,0,0.124259409900795,0.5168563553250319,0.08745185341067194,0.03455500309845911,0.743842571503867,0.13364350687543539,-0.1544214158755506,0.47174528798741006,"correlated on average but regime-unstable (252d rolling corr ranges -0.15 to 0.47, crosses zero across the 2010-present sample -- not a stable structural relationship)",Not a headline claim; grouped under 'interest rates' as a macro driver (literature_review intro).
real_yield_10y,-0.005101365146331432,0.7416102919219394,0.01713138715340662,1,-0.046160351790194634,0.0027145690259727964,0.002179208156423123,0.0018388546496341254,0.8540500410325622,0.09186974108690506,-0.19841271549193845,0.2202951907340391,"weak/marginal, likely not decision-useful",Not directly discussed in either doc (nominal yields only mentioned); Block C candidate per CuBench plan.
high_yield_oas,-0.20129783044621535,2.522117643842616e-08,-0.19168499336182818,0,-0.20129783044621535,0.014041191358364876,0.132047036352905,0.2758939474053472,0.7257032906186194,0.06595137222486892,-0.35029852037585507,-0.05582647153950748,"contemporaneous only, no genuine lead at daily frequency -- not a useful predictive feature as-is",Not discussed in either doc; Block C 'credit spreads' candidate per CuBench plan.
china_pmi_proxy_oecd_business_confidence,0.010246628218719944,0.5077830272175213,0.01274927729753844,4,0.02528908313548385,0.5149942846611867,0.5314993080468902,0.733488105373624,0.9593329765245197,0.07425125256153763,-0.14188661954256984,0.15444998942182275,"weak/marginal, likely not decision-useful","China PMI: 'positive correlation, particularly at 1-3 month horizons' (copper_fundamentals.md 3.3); literature_review flags 'lagged effect observed' (Tang et al. 2026) and this project's own econometrics review flagged a reported 2022 breakdown to near-zero."
