ticker,http_status,first_obs_date,last_obs_date,obs_count,note
HGF10.CMX,404,,,0,non-200 status
HGF11.CMX,404,,,0,non-200 status
HGF12.CMX,404,,,0,non-200 status
HGF13.CMX,404,,,0,non-200 status
HGF14.CMX,200,,,0,no_valid_close_obs
HGF15.CMX,200,,,0,no_valid_close_obs
HGF16.CMX,404,,,0,non-200 status
HGF17.CMX,404,,,0,non-200 status
HGF18.CMX,404,,,0,non-200 status
HGF19.CMX,404,,,0,non-200 status
HGF20.CMX,404,,,0,non-200 status
HGF21.CMX,404,,,0,non-200 status
HGF22.CMX,404,,,0,non-200 status
HGF23.CMX,404,,,0,non-200 status
HGF24.CMX,404,,,0,non-200 status
HGF25.CMX,404,,,0,non-200 status
HGG10.CMX,404,,,0,non-200 status
HGG11.CMX,404,,,0,non-200 status
HGG12.CMX,404,,,0,non-200 status
HGG13.CMX,404,,,0,non-200 status
HGG14.CMX,200,,,0,no_valid_close_obs
HGG15.CMX,404,,,0,non-200 status
HGG16.CMX,404,,,0,non-200 status
HGG17.CMX,404,,,0,non-200 status
HGG18.CMX,404,,,0,non-200 status
HGG19.CMX,404,,,0,non-200 status
HGG20.CMX,404,,,0,non-200 status
HGG21.CMX,404,,,0,non-200 status
HGG22.CMX,404,,,0,non-200 status
HGG23.CMX,404,,,0,non-200 status
HGG24.CMX,404,,,0,non-200 status
HGG25.CMX,404,,,0,non-200 status
HGH10.CMX,404,,,0,non-200 status
HGH11.CMX,404,,,0,non-200 status
HGH12.CMX,404,,,0,non-200 status
HGH13.CMX,404,,,0,non-200 status
HGH14.CMX,200,,,0,no_valid_close_obs
HGH15.CMX,404,,,0,non-200 status
HGH16.CMX,404,,,0,non-200 status
HGH17.CMX,404,,,0,non-200 status
HGH18.CMX,404,,,0,non-200 status
HGH19.CMX,404,,,0,non-200 status
HGH20.CMX,404,,,0,non-200 status
HGH21.CMX,404,,,0,non-200 status
HGH22.CMX,404,,,0,non-200 status
HGH23.CMX,404,,,0,non-200 status
HGH24.CMX,404,,,0,non-200 status
HGH25.CMX,404,,,0,non-200 status
HGJ10.CMX,404,,,0,non-200 status
HGJ11.CMX,404,,,0,non-200 status
HGJ12.CMX,404,,,0,non-200 status
HGJ13.CMX,404,,,0,non-200 status
HGJ14.CMX,200,,,0,no_valid_close_obs
HGJ15.CMX,200,,,0,no_valid_close_obs
HGJ16.CMX,404,,,0,non-200 status
HGJ17.CMX,404,,,0,non-200 status
HGJ18.CMX,404,,,0,non-200 status
HGJ19.CMX,404,,,0,non-200 status
HGJ20.CMX,404,,,0,non-200 status
HGJ21.CMX,404,,,0,non-200 status
HGJ22.CMX,404,,,0,non-200 status
HGJ23.CMX,404,,,0,non-200 status
HGJ24.CMX,404,,,0,non-200 status
HGJ25.CMX,404,,,0,non-200 status
HGK10.CMX,404,,,0,non-200 status
HGK11.CMX,404,,,0,non-200 status
HGK12.CMX,404,,,0,non-200 status
HGK13.CMX,200,,,0,no_valid_close_obs
HGK14.CMX,404,,,0,non-200 status
HGK15.CMX,200,,,0,no_valid_close_obs
HGK16.CMX,404,,,0,non-200 status
HGK17.CMX,404,,,0,non-200 status
HGK18.CMX,404,,,0,non-200 status
HGK19.CMX,404,,,0,non-200 status
HGK20.CMX,404,,,0,non-200 status
HGK21.CMX,404,,,0,non-200 status
HGK22.CMX,200,,,0,no_valid_close_obs
HGK23.CMX,404,,,0,non-200 status
HGK24.CMX,404,,,0,non-200 status
HGK25.CMX,404,,,0,non-200 status
HGM10.CMX,404,,,0,non-200 status
HGM11.CMX,404,,,0,non-200 status
HGM12.CMX,404,,,0,non-200 status
